"length","type","comblength","height","probability"
14,"Pair",2,13,0.012612836182026863
14,"Pair",2,8,0.011922118476698617
14,"Single",1,6,0.03203358459740877
14,"Pair",2,10,0.012205436816908107
14,"Single",1,2,0.031094704842261997
14,"Single",1,7,0.03208735304153612
14,"Single",1,3,0.03103886838105283
14,"Pair",2,6,0.01188903020338948
14,"Single",1,0,0.011661548324389159
14,"FullHouse",5,6,0.002458872310285283
14,"Single",1,8,0.032019108477836025
14,"Single",1,1,0.01166361634147098
14,"Single",1,13,0.03109884087642564
14,"Trio",3,6,0.002483688515267136
14,"Single",1,10,0.031808170735490277
13,"Pair",2,13,0.014356932724998678
13,"Pair",2,8,0.012084485704722814
13,"Single",1,6,0.032219423256469426
13,"Pair",2,10,0.012894815649937464
13,"Single",1,2,0.029588786912584188
13,"Single",1,7,0.0327244114831974
13,"Single",1,3,0.02937739649209341
13,"Pair",2,6,0.011667576819866002
13,"Single",1,0,0.012143205265970253
13,"FullHouse",5,6,0.002982953711369869
13,"Single",1,8,0.032859466474066505
13,"Single",1,13,0.031438453091878496
13,"Trio",3,6,0.003047545228742051
13,"Single",1,10,0.032460173457583924
3,"Pair",2,14,0.033401152933197696
3,"Single",1,14,0.1188538487622923
3,"Single",1,2,0.051034248897931504
14,"PairSteps",2,12,0.005021145474661621
14,"Straight",5,12,0.01037730971657826
14,"Single",1,4,0.031541396531935356
14,"Pair",2,12,0.012358470080962868
14,"Straight",7,8,0.004909472552243281
14,"Single",1,5,0.031932251760399544
14,"PairSteps",2,13,0.0050087373721706945
14,"Straight",6,13,0.0069712855828189145
14,"Straight",5,11,0.010761960893796984
14,"Straight",7,13,0.004636494297442897
14,"Single",1,1.5,0.011661548324389159
14,"Straight",5,6,0.010509662809814808
14,"PairSteps",3,12,0.001292510676138185
14,"Pair",2,3,0.012339857927226479
14,"Straight",6,12,0.007289760213419363
14,"Straight",5,13,0.010085719308041485
14,"Straight",6,8,0.0075420582974015365
14,"PairSteps",2,11,0.005074913918788969
14,"Single",1,12,0.031489696104889824
14,"Straight",5,14,0.009138567484567423
14,"Straight",6,7,0.007451065545801408
14,"PairSteps",2,3,0.0054264768226985555
14,"Straight",5,8,0.011028735097351904
14,"Straight",5,7,0.010958422516569987
14,"PairSteps",2,4,0.005271375541561973
14,"Single",1,11,0.031828850906308485
14,"PairSteps",3,10,0.001315258864038217
14,"Pair",2,9,0.011988295023316893
14,"Straight",6,11,0.007571010536547032
14,"Single",1,14,0.03176267435969021
14,"Single",1,15,0.011651208238980054
14,"PairSteps",2,10,0.0051617706362254556
14,"Straight",5,10,0.01096255855073363
14,"Straight",7,12,0.00490740453516146
14,"Single",1,9,0.0319674080507905
14,"PairSteps",2,9,0.005103866157934464
14,"Straight",8,9,0.0032302426818045515
14,"StraightBomb",5,8,0.00015923731530022439
14,"Straight",6,9,0.007843988791347416
14,"Pair",2,7,0.011953138732925934
14,"Straight",7,9,0.005221743131598267
14,"StraightBomb",6,9,4.549637580006411e-05
14,"Pair",2,5,0.011905574340044049
14,"PairSteps",2,8,0.005037689611316189
14,"Straight",5,9,0.011076299490233789
14,"StraightBomb",5,9,0.00017371343487297206
13,"Straight",5,12,0.010270051262176968
13,"Straight",6,10,0.007909524900029948
13,"PairSteps",2,14,0.005654693748128314
13,"Single",1,14,0.03245430150145918
13,"Straight",8,13,0.0030827769654905137
13,"Straight",7,14,0.004374607312934158
13,"Straight",8,14,0.002971209799120381
13,"Straight",6,13,0.006758621499580155
13,"PairSteps",3,8,0.0011215436198260726
13,"PairSteps",2,8,0.0047856442416662264
13,"Straight",5,11,0.010951198172647255
13,"Straight",7,13,0.004650589250797118
13,"Single",1,1.5,0.011890711152606268
13,"Straight",5,10,0.011403338794252529
13,"Single",1,9,0.032430813676960206
13,"Pair",2,14,0.01270691305394566
13,"PairSteps",2,9,0.00486785162741264
13,"Straight",6,12,0.007463256234549415
13,"Straight",10,14,0.0010628240585786343
13,"PairSteps",2,7,0.004527278172177497
13,"Straight",9,14,0.0018848979160427713
13,"Straight",9,13,0.0018379222670448206
13,"Single",1,12,0.03218419151972096
13,"Straight",5,14,0.00844974486350638
13,"Straight",6,11,0.00786842120715674
13,"Straight",7,11,0.005343480073516891
13,"Straight",8,12,0.003329399122729755
13,"Straight",6,14,0.006394560219846038
13,"Straight",7,12,0.00509685791627765
13,"Straight",5,9,0.011338747276880346
13,"Straight",5,13,0.00958303239558194
13,"Single",1,11,0.032460173457583924
10,"Straight",6,10,0.0065995508638995405
10,"Single",1,13,0.03512122091690982
10,"Straight",6,11,0.005881544172688247
10,"Single",1,15,0.011121465344719595
10,"Pair",2,13,0.01564337982553965
10,"PairSteps",2,10,0.0040483355993828195
10,"Single",1,6,0.038466826563192225
10,"Pair",2,10,0.015032310301104508
10,"Single",1,7,0.03926121694495791
10,"Straight",5,11,0.009486854366855589
10,"Single",1,8,0.04039169556516293
10,"Single",1,1.5,0.012083899845704946
10,"Straight",5,10,0.010464565605951817
10,"Single",1,9,0.039108449563849124
10,"Straight",5,9,0.01054094929650621
10,"Single",1,10,0.0385584869918575
13,"Trio",3,13,0.0036288688850916904
13,"PairSteps",2,13,0.005237784863271502
13,"Pair",2,12,0.013658169946154161
13,"SquareBomb",4,13,0.0003523173674846302
13,"FullHouse",5,13,0.0035173017187215576
13,"Pair",2,3,0.012836096088690026
5,"SquareBomb",4,13,0.0009212142481137041
5,"Trio",3,13,0.004474469205123706
5,"Pair",2,13,0.02750482540796631
5,"Single",1,13,0.060185997543428675
5,"Single",1,0,0.016274785050008775
14,"Pair",2,11,0.012327449824735553
14,"Trio",3,9,0.002500232651921705
14,"FullHouse",5,9,0.0024733484298580305
14,"Pair",2,14,0.012470143003381208
2,"Single",1,13,0.0863710239145577
2,"Single",1,3,0.04446250290225215
8,"Single",1,5,0.050046438522540544
8,"PairSteps",2,5,0.001836107737372294
8,"Pair",2,5,0.011909694934628848
8,"Pair",2,11,0.012809887833107094
8,"Single",1,4,0.04956062013288562
8,"Single",1,12,0.05106808601843252
8,"Pair",2,4,0.012059727084375223
8,"Single",1,10,0.05300421518896906
8,"Single",1,11,0.05171108094591698
12,"Straight",5,12,0.009430113238339376
12,"FullHouse",5,10,0.002917561565167856
12,"PairSteps",2,11,0.004295512805708875
12,"Single",1,3,0.031200203228562852
12,"Single",1,12,0.03207778111360015
12,"Straight",5,14,0.006858963996212559
12,"Single",1,14,0.03254736226261133
12,"PairSteps",2,10,0.00434170111544768
12,"Single",1,6,0.034094670638861305
12,"Pair",2,10,0.013140574120690054
12,"Pair",2,6,0.01190118780936545
12,"Trio",3,10,0.003048428442761137
12,"Single",1,1.5,0.012209109874290818
